brand,make,price,km,gearbox,doors,imported,kW,cm3,fuel,registered,color,aircon,damage,car_type,standard,drive,age,country
Citroen,Berlingo,2399,188745,M,4/5,1,54,1560.0,diesel,1,WH,3,0,PU,4,F,9,French
Fiat,Multipla,2200,183011,M,4/5,0,76,1600.0,LPG,1,VAR,2,0,VAN,4,F,15,Italian
BMW,Serija 5,9499,186656,A,4/5,1,190,2996.0,petrol,0,GR,3,0,SW,5,F,14,German
Hyundai,i20,8490,21686,M,4/5,1,54,1248.0,petrol,0,WH,3,0,HB,4,F,1,Asian
Škoda,Superb,9999,171524,M,4/5,1,124,1968.0,diesel,0,GR,3,0,SW,5,F,7,EU
Renault,Scenic,1150,229945,M,4/5,1,71,1870.0,diesel,1,VAR,3,0,VAN,2,F,20,French
Renault,Megane,2900,150000,M,2/3,0,94,2000.0,petrol,1,VAR,4,0,CBR,4,F,15,French
Peugeot,308,3750,221321,M,4/5,0,80,1600.0,diesel,0,BL,3,0,SDN,4,F,13,French
BMW,320,9700,225800,A,4/5,1,110,1995.0,diesel,0,GR,4,0,SW,5,B,5,German
Hyundai,Elantra,1090,250000,M,4/5,0,79,1600.0,petrol,1,GR,3,0,SDN,3,F,19,Asian
Škoda,Octavia,17499,14312,M,4/5,1,85,999.0,petrol,1,GR,3,0,SW,5,F,2,EU
Peugeot,307,2350,272000,M,4/5,0,66,1600.0,diesel,0,GR,2,0,SW,4,F,15,French
Alfa Romeo,147,1750,206900,M,4/5,0,85,1900.0,diesel,1,GR,2,0,HB,3,F,18,Italian
VW,Scirocco,6799,160988,M,2/3,1,118,1390.0,petrol,1,BL,3,0,HB,5,F,12,German
Opel,Corsa,1800,196000,M,4/5,0,55,1199.0,petrol,1,VAR,2,0,HB,3,F,16,German
Škoda,Fabia,8499,31715,M,4/5,1,81,1197.0,petrol,1,WH,3,0,HB,4,F,5,EU
Citroen,Berlingo,1699,296054,M,4/5,1,54,1560.0,diesel,1,WH,3,0,PU,4,F,10,French
Fiat,Grande Punto,2650,210000,M,4/5,0,70,1400.0,petrol,0,VAR,4,0,HB,4,F,14,Italian
Mercedes,M klasa,12499,220489,A,4/5,1,149,2987.0,diesel,0,GR,3,0,SW,3,F,9,German
Volvo,XC 60,8800,275000,A,4/5,1,129,2400.0,diesel,1,GR,3,0,SW,4,F,10,Other
Škoda,Octavia,11590,178936,M,4/5,1,110,1968.0,diesel,1,BL,0,0,SW,5,F,4,EU
BMW,X3,7299,134399,M,4/5,1,110,1995.0,petrol,1,GR,3,0,SW,4,4x4,14,German
Peugeot,306,1100,190000,M,4/5,0,66,1986.0,diesel,1,GR,2,0,SW,3,F,19,French
Peugeot,307,1499,218000,M,2/3,0,79,1997.0,diesel,0,VAR,4,0,HB,3,F,16,French
MINI,Cooper,5190,144103,M,2/3,1,87,1598.0,petrol,0,VAR,3,0,HB,4,F,13,German
Alfa Romeo,156,1850,224000,M,4/5,0,85,1900.0,diesel,0,GR,4,0,SDN,3,F,17,Italian
Škoda,Octavia,8350,163067,M,4/5,1,85,999.0,petrol,0,VAR,3,0,SW,5,F,4,EU
Toyota,Corolla Verso,2190,270123,M,4/5,0,66,1998.0,diesel,0,VAR,2,0,VAN,3,F,18,Asian
Škoda,Octavia,6600,134048,M,4/5,1,76,1896.0,diesel,1,GR,3,0,HB,4,F,11,EU
Škoda,Fabia,10499,14493,M,4/5,1,81,999.0,petrol,0,VAR,3,0,SW,4,F,2,EU
Opel,Antara,10699,130525,A,4/5,1,135,2231.0,diesel,0,GR,1,0,SUV,5,4x4,7,German
Ford,B Max,7499,58272,M,4/5,1,74,998.0,petrol,0,BL,3,0,HB,6,F,6,USA
VW,Golf 5,3000,314000,M,2/3,0,55,1998.0,diesel,0,VAR,2,0,HB,4,F,16,German
VW,Passat,4850,235123,M,4/5,0,77,1900.0,diesel,1,GR,4,0,SDN,3,F,13,German
Audi,A6,2999,290000,A,4/5,0,132,2480.0,diesel,0,GR,4,0,SW,3,4x4,18,German
VW,Sharan,4499,209527,M,4/5,1,149,2792.0,petrol,0,BL,3,0,VAN,4,F,14,German
Toyota,RAV4,14500,90060,A,4/5,1,110,2231.0,diesel,0,GR,3,0,SUV,5,4x4,7,Asian
VW,Passat,2490,181000,M,4/5,0,74,1940.0,diesel,1,GR,4,0,SDN,3,F,19,German
VW,Tiguan,10900,198000,M,4/5,0,103,1968.0,diesel,0,GR,0,0,SW,5,4x4,8,German
Audi,A4,3200,270000,M,4/5,0,96,1986.0,diesel,1,VAR,4,0,SW,4,F,18,German
VW,Passat,12990,116648,M,4/5,1,110,1968.0,diesel,1,GR,3,0,SW,4,F,5,German
Ford,Mondeo,11990,134000,A,4/5,1,110,1997.0,diesel,1,VAR,3,0,SW,3,F,4,USA
Audi,A3,9900,65400,M,4/5,1,74,1595.0,petrol,0,WH,3,0,HB,4,F,9,German
Škoda,Felicia,500,200000,M,4/5,0,50,1900.0,diesel,0,VAR,0,0,HB,2,F,22,EU
BMW,Serija 5,14990,183000,A,4/5,1,140,1995.0,diesel,0,WH,0,0,SW,5,F,5,German
Renault,Laguna,1499,225000,M,4/5,0,88,1870.0,diesel,0,GR,4,0,SW,4,F,14,French
Alfa Romeo,159,3000,192000,M,4/5,0,88,1910.0,diesel,0,BL,4,0,SDN,4,F,14,Italian
VW,Golf 4,2650,322000,M,4/5,0,66,1900.0,diesel,0,GR,3,0,SW,4,F,15,German
